date,state,positive,Hospitalizados,UCI,Fallecidos,Recuperados
20200226,AN,1,,,,
20200227,AN,6,,,,
20200228,AN,8,,,,
20200229,AN,12,,,,
20200301,AN,12,,,,
20200302,AN,12,,,,
20200303,AN,12,,,,
20200304,AN,12,,,,
20200305,AN,21,,,,
20200306,AN,27,,,,
20200307,AN,34,,,,
20200308,AN,54,,1,0,11
20200309,AN,71,,1,0,11
20200310,AN,90,32,3,0,11
20200311,AN,115,50,4,0,11
20200312,AN,219,92,8,0,0
20200313,AN,269,92,8,2,0
20200314,AN,437,92,8,6,0
20200315,AN,554,197,11,7,0
20200316,AN,683,229,13,11,0
20200317,AN,859,319,21,19,38
20200318,AN,1008,384,25,23,33
20200319,AN,1287,501,38,30,36
20200320,AN,1515,605,53,40,36
20200321,AN,1725,724,55,47,38
20200322,AN,1961,865,77,58,50
20200323,AN,2471,1132,102,87,66
20200324,AN,3010,1433,116,113,71
20200325,AN,3406,1626,134,134,77
20200326,AN,3793,1843,148,144,92
20200327,AN,4277,2106,172,175,139
20200328,AN,4682,2294,201,207,148
20200329,AN,5405,2671,216,236,155
20200330,AN,5818,2867,235,248,160
20200331,AN,6392,3147,260,308,182
20200401,AN,6972,3444,280,343,228
20200402,AN,7374,3673,338,376,258
20200403,AN,7869,3896,364,426,463
20200404,AN,8301,4107,474,470,665
20200405,AN,8581,4227,489,491,798
20200406,AN,8767,4335,499,528,900
20200407,AN,8997,4463,520,605,1041
20200408,AN,9261,4599,538,652,1193
20200409,AN,9510,4715,582,691,1437
20200410,AN,9712,4808,602,737,1630
20200411,AN,10006,4950,619,799,1838
20200412,AN,10187,4993,621,815,1967
20200413,AN,10306,5054,631,836,2032
20200414,AN,10595,5147,665,865,2224
20200415,AN,10807,5226,671,912,2634
20200416,AN,10913,5298,675,940,2790
20200417,AN,11020,5341,677,967,2948
20200304,AR,1,,,,
20200305,AR,6,,,,
20200306,AR,11,,,,
20200307,AR,11,,,,
20200308,AR,13,,3,3,
20200309,AR,38,,3,4,0
20200310,AR,45,22,3,4,0
20200311,AR,64,28,3,6,0
20200312,AR,80,30,3,7,0
20200313,AR,121,42,5,7,0
20200314,AR,147,59,5,7,0
20200315,AR,174,64,7,11,0
20200316,AR,207,74,9,12,0
20200317,AR,226,81,9,13,0
20200318,AR,281,101,14,15,0
20200319,AR,360,127,28,17,0
20200320,AR,424,192,33,22,0
20200321,AR,532,241,45,24,3
20200322,AR,638,298,52,32,30
20200323,AR,758,384,66,37,3
20200324,AR,907,459,75,40,4
20200325,AR,1116,562,93,48,4
20200326,AR,1338,693,114,58,8
20200327,AR,1592,835,124,93,8
20200328,AR,1858,835,124,104,8
20200329,AR,2078,1094,156,106,174
20200330,AR,2272,1176,165,138,204
20200331,AR,2491,1234,168,169,257
20200401,AR,2700,1320,178,200,320
20200402,AR,2889,1431,180,224,378
20200403,AR,3078,1505,190,251,440
20200404,AR,3232,1588,233,270,537
20200405,AR,3347,1637,237,284,565
20200406,AR,3449,1663,247,312,578
20200407,AR,3549,1716,255,349,659
20200408,AR,3685,1765,261,385,718
20200409,AR,3831,1822,263,409,797
20200410,AR,3969,1860,266,425,888
20200411,AR,4070,1901,272,450,934
20200412,AR,4187,1938,274,464,946
20200413,AR,4245,1966,280,492,963
20200414,AR,4338,2006,282,514,1012
20200415,AR,4566,2108,291,543,1087
20200416,AR,4664,2151,240,562,1132
20200417,AR,4761,2180,243,601,1121
20200229,AS,1,,,,
20200301,AS,1,,,,
20200302,AS,1,,,,
20200303,AS,2,,,,
20200304,AS,5,,,,
20200305,AS,5,,,,
20200306,AS,5,,,,
20200307,AS,7,,,,
20200308,AS,7,,2,0,
20200309,AS,22,,2,0,1
20200310,AS,32,12,2,0,1
20200311,AS,47,12,2,1,1
20200312,AS,67,16,2,1,1
20200313,AS,92,16,2,1,1
20200314,AS,137,16,3,1,1
20200315,AS,177,16,3,1,3
20200316,AS,193,34,5,1,3
20200317,AS,242,45,5,1,4
20200318,AS,292,61,6,1,4
20200319,AS,344,87,7,2,12
20200320,AS,486,133,12,5,16
20200321,AS,545,171,15,8,20
20200322,AS,594,194,22,12,21
20200323,AS,662,224,23,22,30
20200324,AS,779,263,29,25,35
20200325,AS,841,300,34,27,40
20200326,AS,900,339,47,29,52
20200327,AS,1004,408,50,33,65
20200328,AS,1088,466,57,41,76
20200329,AS,1158,479,60,49,78
20200330,AS,1236,529,65,55,90
20200331,AS,1322,590,76,63,109
20200401,AS,1384,640,79,69,135
20200402,AS,1433,702,86,70,154
20200403,AS,1522,766,87,76,190
20200404,AS,1605,808,90,80,216
20200405,AS,1646,846,90,86,222
20200406,AS,1679,889,91,96,244
20200407,AS,1705,958,91,102,294
20200408,AS,1737,1018,94,110,340
20200409,AS,1799,1083,100,121,372
20200410,AS,1827,1147,105,128,414
20200411,AS,1892,1208,106,140,430
20200412,AS,1958,1265,110,149,434
20200413,AS,2051,1330,111,156,458
20200414,AS,2096,1387,114,166,487
20200415,AS,2170,1432,116,168,522
20200416,AS,2230,1474,118,174,545
20200417,AS,2272,1520,119,187,575
20200229,CB,1,,,,
20200301,CB,10,,,,
20200302,CB,10,,,,
20200303,CB,10,,,,
20200304,CB,10,,,,
20200305,CB,10,,,,
20200306,CB,10,,,,
20200307,CB,12,,,,
20200308,CB,12,,0,0,
20200309,CB,12,,0,0,
20200310,CB,12,0,0,0,0
20200311,CB,16,3,0,0,6
20200312,CB,29,3,0,0,7
20200313,CB,31,3,0,0,7
20200314,CB,51,3,0,0,10
20200315,CB,58,18,2,0,10
20200316,CB,58,18,2,0,10
20200317,CB,68,25,3,1,10
20200318,CB,83,40,4,1,10
20200319,CB,144,61,7,1,10
20200320,CB,215,92,9,2,11
20200321,CB,282,116,9,5,11
20200322,CB,347,157,14,6,11
20200323,CB,425,200,16,9,12
20200324,CB,510,241,18,14,12
20200325,CB,671,300,26,17,14
20200326,CB,810,355,29,21,19
20200327,CB,937,406,37,22,21
20200328,CB,1023,449,40,26,24
20200329,CB,1100,481,46,27,24
20200330,CB,1171,522,50,37,35
20200331,CB,1213,543,54,54,43
20200401,CB,1268,567,57,60,60
20200402,CB,1321,592,59,64,74
20200403,CB,1384,619,60,68,99
20200404,CB,1441,639,62,68,113
20200405,CB,1483,658,65,77,118
20200406,CB,1501,677,66,85,129
20200407,CB,1572,700,69,92,175
20200408,CB,1619,720,71,98,214
20200409,CB,1659,747,73,102,265
20200410,CB,1719,773,75,107,281
20200411,CB,1752,805,75,110,297
20200412,CB,1777,827,75,117,317
20200413,CB,1796,853,76,120,323
20200414,CB,1823,873,76,132,363
20200415,CB,1845,890,77,137,442
20200416,CB,1884,903,78,144,510
20200417,CB,1990,911,78,149,534
20200314,CE,1,0,0,0,0
20200315,CE,1,0,0,0,0
20200316,CE,1,0,0,0,0
20200317,CE,1,0,0,0,0
20200318,CE,1,0,0,0,0
20200319,CE,5,0,0,0,0
20200320,CE,5,0,0,0,0
20200321,CE,5,0,0,0,0
20200322,CE,6,0,0,0,0
20200323,CE,6,0,0,0,0
20200324,CE,9,2,1,0,0
20200325,CE,10,2,2,0,0
20200326,CE,17,2,2,0,0
20200327,CE,17,2,2,1,0
20200328,CE,21,2,2,1,0
20200329,CE,25,2,2,1,0
20200330,CE,34,3,3,1,0
20200331,CE,51,6,3,1,0
20200401,CE,55,7,3,1,0
20200402,CE,62,8,3,1,2
20200403,CE,73,8,4,1,2
20200404,CE,83,9,4,2,2
20200405,CE,83,9,4,3,2
20200406,CE,83,9,4,4,2
20200407,CE,84,9,4,4,7
20200408,CE,84,9,4,4,7
20200409,CE,91,9,4,4,12
20200410,CE,93,9,4,4,17
20200411,CE,93,9,4,4,17
20200412,CE,95,9,4,4,20
20200413,CE,96,9,4,4,22
20200414,CE,98,9,4,4,30
20200415,CE,100,9,4,4,41
20200416,CE,101,9,4,4,44
20200417,CE,108,9,4,4,53
20200228,CL,2,,,,
20200229,CL,2,,,,
20200301,CL,2,,,,
20200302,CL,7,,,,
20200303,CL,8,,,,
20200304,CL,12,,,,
20200305,CL,13,,,,
20200306,CL,14,,,,
20200307,CL,21,,,,
20200308,CL,30,,2,0,
20200309,CL,40,,2,0,
20200310,CL,64,14,2,0,0
20200311,CL,71,24,2,0,0
20200312,CL,92,25,4,0,1
20200313,CL,169,25,8,1,2
20200314,CL,223,45,8,3,3
20200315,CL,292,45,8,6,5
20200316,CL,431,95,24,12,5
20200317,CL,668,281,43,22,5
20200318,CL,868,362,54,29,27
20200319,CL,1147,476,69,43,37
20200320,CL,1466,629,85,55,54
20200321,CL,1744,798,106,74,89
20200322,CL,2055,977,120,102,117
20200323,CL,2460,1197,137,124,140
20200324,CL,2940,1457,170,165,213
20200325,CL,3488,1823,202,206,308
20200326,CL,4132,2214,228,252,423
20200327,CL,4791,2648,249,321,585
20200328,CL,5414,3160,278,380,752
20200329,CL,5801,3411,307,442,871
20200330,CL,6211,3629,325,516,1028
20200331,CL,6847,3951,345,585,1259
20200401,CL,7355,4207,353,641,1498
20200402,CL,7875,4472,355,723,1759
20200403,CL,8332,4685,348,786,2021
20200404,CL,8749,4905,351,847,2331
20200405,CL,9116,5041,348,919,2533
20200406,CL,9581,5180,346,982,2711
20200407,CL,10058,5322,342,1028,2988
20200408,CL,10518,5523,338,1082,3242
20200409,CL,11102,5674,332,1129,3506
20200410,CL,11543,5817,327,1180,3757
20200411,CL,12118,5957,323,1221,4010
20200412,CL,12628,6077,312,1263,4154
20200413,CL,13180,6175,308,1299,4266
20200414,CL,13697,6306,306,1337,4521
20200415,CL,14380,6449,307,1372,4725
20200416,CL,14903,6518,297,1401,4924
20200417,CL,15293,6831,495,1429,5103
20200229,CM,1,,,,
20200301,CM,3,,,,
20200302,CM,7,,,,
20200303,CM,12,,,,
20200304,CM,13,,,,
20200305,CM,15,,,,
20200306,CM,15,,,,
20200307,CM,15,,,,
20200308,CM,26,,2,0,2
20200309,CM,39,,3,0,2
20200310,CM,71,0,5,0,2
20200311,CM,115,39,9,1,2
20200312,CM,194,78,10,5,1
20200313,CM,289,78,10,6,5
20200314,CM,401,78,10,10,5
20200315,CM,567,207,23,17,12
20200316,CM,567,207,23,17,12
20200317,CM,675,277,29,28,15
20200318,CM,801,313,37,42,27
20200319,CM,1044,313,37,42,27
20200320,CM,1423,635,65,84,38
20200321,CM,1819,838,76,112,48
20200322,CM,2078,1547,142,145,51
20200323,CM,2465,1826,182,216,53
20200324,CM,2780,2162,210,263,71
20200325,CM,3383,2162,243,316,95
20200326,CM,3934,2707,273,367,153
20200327,CM,4512,2977,289,448,197
20200328,CM,5246,3018,299,539,236
20200329,CM,5858,3134,302,622,252
20200330,CM,6424,3225,344,708,296
20200331,CM,7047,3230,353,774,397
20200401,CM,7682,3230,355,854,494
20200402,CM,8523,3168,355,916,579
20200403,CM,9324,3133,360,989,657
20200404,CM,10031,2950,357,1055,1149
20200405,CM,10602,2901,354,1132,1259
20200406,CM,11077,2908,360,1177,1353
20200407,CM,11788,2731,354,1255,1557
20200408,CM,12489,2575,342,1322,1766
20200409,CM,13063,2359,329,1431,1982
20200410,CM,13456,2198,316,1483,2205
20200411,CM,13698,6838,316,1543,2365
20200412,CM,14054,7782,475,1626,2532
20200413,CM,14329,7830,486,1714,2943
20200414,CM,14680,7896,495,1755,2998
20200415,CM,15151,7987,503,1796,3378
20200416,CM,15997,8018,511,1852,3600
20200417,CM,16349,8093,514,1913,3838
20200220,CN,1,,,,
20200221,CN,1,,,,
20200222,CN,1,,,,
20200223,CN,1,,,,
20200224,CN,2,,,,
